,name,country,sport,g_medal,s_medal,b_medal
0,julia beljajeva,EST,Fencing,1,0,0
1,david belyavskiy,ROC,Artistic Gymnastics,1,0,0
2,jayson tatum,USA,Basketball,1,0,0
3,brianna throssell,AUS,Swimming,1,0,0
4,risi pouri-lane,NZL,Rugby Sevens,1,0,0
5,bakhodir jalolov,UZB,Boxing,1,0,0
6,joshua kiprui cheptegei,UGA,Athletics,1,0,0
7,zhihui hou,CHN,Weightlifting,1,0,0
8,antoine brizard,FRA,Volleyball,1,0,0
9,avalon wasteneys,CAN,Rowing,1,0,0
10,soufiane elbakkali,MAR,Athletics,1,0,0
11,yukako kawai,JPN,Wrestling,1,0,0
12,chase kalisz,USA,Swimming,1,0,0
13,maggie steffens,USA,Water Polo,1,0,0
14,valarie allman,USA,Athletics,1,0,0
15,jayde riviere,CAN,Football,1,0,0
16,vincent gerard,FRA,Handball,1,0,0
17,italo ferreira,BRA,Surfing,1,0,0
18,junxuan yang,CHN,Swimming,1,0,0
19,ludovic fabregas,FRA,Handball,1,0,0
20,ryutaro umeno,JPN,Baseball/Softball,1,0,0
21,matheus cunha,BRA,Football,1,0,0
22,iosefo masikau baleiwairiki,FIJ,Rugby Sevens,1,0,0
23,peruth chemutai,UGA,Athletics,1,0,0
24,annabelle mcintyre,AUS,Rowing,1,0,0
25,kahena kunze,BRA,Sailing,1,0,0
26,vanessa gilles,CAN,Football,1,0,0
27,sunisa lee,USA,Artistic Gymnastics,1,0,0
28,jeahwan shin,KOR,Artistic Gymnastics,1,0,0
29,theresa fitzpatrick,NZL,Rugby Sevens,1,0,0
30,yifan zhang,CHN,Swimming,1,0,0
31,kasia gruchalla-wesierski,CAN,Rowing,1,0,0
32,vitalina batsarashkina,ROC,Shooting,1,0,0
33,vitalina batsarashkina,ROC,Shooting,1,0,0
34,matt macdonald,NZL,Rowing,1,0,0
35,tamyra mariama mensah stock,USA,Wrestling,1,0,0
36,lasse norman hansen,DEN,Cycling Track,1,0,0
37,ronald rauhe,GER,Canoe Sprint,1,0,0
38,ancuta bodnar,ROU,Rowing,1,0,0
39,satoru uyama,JPN,Fencing,1,0,0
40,jessica von bredow-werndl,GER,Equestrian,1,0,0
41,jessica von bredow-werndl,GER,Equestrian,1,0,0
42,francesco lamon,ITA,Cycling Track,1,0,0
43,akira sone,JPN,Judo,1,0,0
44,yui ohashi,JPN,Swimming,1,0,0
45,yui ohashi,JPN,Swimming,1,0,0
46,margot van geffen,NED,Hockey,1,0,0
47,benjamin savsek,SLO,Canoe Slalom,1,0,0
48,michael morkov,DEN,Cycling Track,1,0,0
49,vladislav larin,ROC,Taekwondo,1,0,0
50,justine wong-orantes,USA,Volleyball,1,0,0
51,kadeisha buchanan,CAN,Football,1,0,0
52,lynna irby,USA,Athletics,1,0,0
53,josine koning,NED,Hockey,1,0,0
54,xiaotong cui,CHN,Rowing,1,0,0
55,sofiya velikaya,ROC,Fencing,1,0,0
56,aria fischer,USA,Water Polo,1,0,0
57,zhan beleniuk,UKR,Wrestling,1,0,0
58,haoran yang,CHN,Shooting,1,0,0
59,katie ledecky,USA,Swimming,1,0,0
60,katie ledecky,USA,Swimming,1,0,0
